model,split,threshold,accuracy,precision,recall,f1,pr_auc,roc_auc
"Tuned LightGBM + FE {'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 40, 'n_estimators': 500, 'num_leaves': 63, 'reg_lambda': 1.0, 'subsample': 0.8}",test,0.5199999999999999,0.8194008157907074,0.5929609793420046,0.7647523189263864,0.6679882778831236,0.748909167087357,0.8847566153088644
LightGBM + FE,test,0.32999999999999996,0.8355290918467814,0.6418046207022012,0.6962699822380106,0.6679288148428626,0.7409988859375573,0.8800352548024715
XGBoost + FE,test,0.3,0.8235735383749824,0.6104336043360433,0.7112689954608249,0.6570048309178744,0.7267541071635152,0.8719103261165709
Fast SoftVoting ensemble + LightGBM,test,0.5599999999999999,0.8189319705565193,0.5973816065944723,0.7294256956779159,0.6568331259996446,0.7235765712780302,0.8727938867241928
ExtraTrees + FE,test,0.38999999999999996,0.815368746776689,0.5890519009307462,0.7369252022893231,0.6547431176573734,0.7197266201086905,0.8724271371663007
RandomForest + FE,test,0.4599999999999999,0.8247456514604529,0.615464813205908,0.6990329583580027,0.6545924967658473,0.7161315972675333,0.8708543737991592
"Tuned LightGBM + FE + SVD30 {'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 40, 'n_estimators': 500, 'num_leaves': 63, 'reg_lambda': 1.0, 'subsample': 0.8}",test,0.5399999999999999,0.8173847812836983,0.5980917308336123,0.7051509769094139,0.6472239833348429,0.7103790035724898,0.8678326887546017
GradientBoosting + FE,test,0.26999999999999996,0.8155562848703642,0.5949706621961441,0.7004144464179988,0.6434010152284264,0.7096383846916507,0.8618215761216378
LogisticRegression + FE,test,0.58,0.8147123634488256,0.5938394209729002,0.6962699822380106,0.6409883720930233,0.694923288399981,0.8601162088814218
Baseline LogisticRegression,test,0.58,0.8154625158235267,0.5976515282334657,0.6830471679494771,0.6375023024498065,0.6939551756837536,0.857516783403949
Fast Stacking ensemble + LightGBM,test,0.6,0.8125556753715598,0.5900893308612843,0.6909413854351687,0.6365454545454545,0.681816152028734,0.8561682263474388
KNN + FE,test,0.25999999999999995,0.8009283135636927,0.5658168991502325,0.6964673376751529,0.6243807501769285,0.648082015151553,0.845762757405216
"Tuned LightGBM + FE {'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 40, 'n_estimators': 500, 'num_leaves': 63, 'reg_lambda': 1.0, 'subsample': 0.8}",val,0.5199999999999999,0.843686998921656,0.5982608695652174,0.7115605607906228,0.6500104975855553,0.7229898724389779,0.8911108726181778
LightGBM + FE,val,0.32999999999999996,0.8540953631206338,0.641406071673134,0.6458285451620317,0.6436097114063216,0.7124206691917478,0.8862609971361265
XGBoost + FE,val,0.3,0.8453748417647334,0.6114285714285714,0.6639852907377615,0.6366240634640811,0.7046375456563404,0.881681700430308
Fast SoftVoting ensemble + LightGBM,val,0.5599999999999999,0.8392798537202869,0.5926148906281357,0.6786945529763273,0.6327405185343904,0.7038974622773203,0.8819480827176159
ExtraTrees + FE,val,0.38999999999999996,0.8357635144638754,0.5824581874756904,0.6883475063203861,0.6309912567154745,0.697227269051753,0.8813512743071806
RandomForest + FE,val,0.4599999999999999,0.8431712691640489,0.6094906399651719,0.6435302229372558,0.6260480715483511,0.6929261601583776,0.87839907142259
"Tuned LightGBM + FE + SVD30 {'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 40, 'n_estimators': 500, 'num_leaves': 63, 'reg_lambda': 1.0, 'subsample': 0.8}",val,0.5399999999999999,0.8378264334943035,0.590983272133823,0.6658239485175822,0.6261752944990814,0.6910999294534935,0.8766089710807493
GradientBoosting + FE,val,0.26999999999999996,0.8354822073233625,0.585464880227365,0.6628361296253735,0.6217527217850598,0.6888251766732463,0.8725044732541382
LogisticRegression + FE,val,0.58,0.8367949739790895,0.5899503722084367,0.6557113307285681,0.6210950255796234,0.6787858263250841,0.8705685178480329
Baseline LogisticRegression,val,0.58,0.834591401378405,0.5852496374559768,0.6492760284991956,0.615602527783831,0.6734369467623775,0.8675469916738141
Fast Stacking ensemble + LightGBM,val,0.6,0.8344038632847297,0.5841035120147874,0.6536428407262698,0.6169197396963124,0.6673415556951593,0.8667784791810423
KNN + FE,val,0.25999999999999995,0.8214637348211355,0.552463768115942,0.6570903240634337,0.6002519420533278,0.6346550525976657,0.8585405954395429
